canonical_smiles,molecule_chembl_id,pIC50,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
N[C@@H](Cc1c(O)noc1-c1ccccc1)C(=O)O,CHEMBL83720,5.259637310505756,=,=,IC50,nM,5500.0,IC50,uM,5.5
C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[I-],CHEMBL277086,3.6020599913279625,=,=,IC50,nM,250000.0,IC50,mM,0.25
CC1(C)COC(c2ccc(C(O)c3ccc(Cl)cc3)cc2)=N1,CHEMBL131969,5.455931955649724,=,=,IC50,nM,3500.0,IC50,nM,3500.0
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,CHEMBL83462,9.0,<,<,IC50,nM,1.0,IC50,nM,1.0
COc1ccc(S(=O)(=O)N2Cc3cc(N)ccc3C[C@@H]2C(=O)C(=O)O)cc1,CHEMBL60688,5.698970004336019,=,=,IC50,nM,2000.0,IC50,nM l-1,2000.0
COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,CHEMBL50514,7.886056647693163,=,=,IC50,nM,13.0,IC50,nM,13.0
CCC(=O)C1C(c2ccc(-c3ccccc3)cc2)CC2CCC1N2C,CHEMBL22518,8.640164517660113,=,=,IC50,nM,2.29,IC50,nM,2.29
Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,CHEMBL131320,6.698970004336019,=,=,IC50,nM,200.0,IC50,uM,0.2
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,CHEMBL86531,4.536107011014093,=,=,IC50,nM,29100.0,IC50,uM,29.1
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,CHEMBL315753,5.723538195826756,=,=,IC50,nM,1890.0,IC50,uM,1.89
